,Unnamed: 0,weather_station,temperature,percipitation,month,day,hour,accidents,road_usage
0,0.0,164.0,-1.1037702725626322,1.4392004722548297,1.0,1.0,0.0,-0.306324172236198,-1.09
1,1.0,164.0,-1.1422367651263756,-0.03481533702981337,1.0,1.0,1.0,-0.306324172236198,-1.06
2,2.0,164.0,-1.1224539975221646,-0.2804846385772539,1.0,1.0,2.0,-0.306324172236198,-1.11
3,3.0,164.0,-1.1224539975221646,-0.1330830576487896,1.0,1.0,3.0,-0.306324172236198,-1.14
4,4.0,164.0,-1.1246520828115214,-0.2804846385772539,1.0,1.0,4.0,-0.306324172236198,-1.14
5,5.0,164.0,-1.1719109165326917,-0.2804846385772539,1.0,1.0,5.0,2.7061125654622176,-1.12
6,6.0,164.0,-1.1686137885986565,-0.2804846385772539,1.0,1.0,6.0,-0.306324172236198,-1.05
7,7.0,164.0,-1.1444348504157322,-0.2804846385772539,1.0,1.0,7.0,-0.306324172236198,-1.06
8,8.0,164.0,-1.0927798461158482,-0.2804846385772539,1.0,1.0,8.0,-0.306324172236198,-1.0
9,9.0,164.0,-1.036728671237251,-0.1330830576487896,1.0,1.0,9.0,-0.306324172236198,-0.74
10,10.0,164.0,-0.9795784537139751,-0.03481533702981337,1.0,1.0,10.0,-0.306324172236198,-0.39
11,11.0,164.0,-0.9224282361906994,0.4565232660650677,1.0,1.0,11.0,-0.306324172236198,-0.0
12,12.0,164.0,-0.9136358950332721,0.3091216851366034,1.0,1.0,12.0,-0.306324172236198,0.16
13,13.0,164.0,-0.8839617436269559,0.4565232660650677,1.0,1.0,13.0,-0.306324172236198,0.16
14,14.0,164.0,-0.8828627009822776,0.2108539645176272,1.0,1.0,14.0,-0.306324172236198,0.38
15,15.0,164.0,-0.9059425965205237,0.11258624389865095,1.0,1.0,15.0,-0.306324172236198,0.38
16,16.0,164.0,-0.9543004728863723,-0.1330830576487896,1.0,1.0,16.0,-0.306324172236198,0.18
17,17.0,164.0,-0.9553995155310507,-0.03481533702981337,1.0,1.0,17.0,2.7061125654622176,0.13
18,18.0,164.0,-0.9608947287544427,0.2108539645176272,1.0,1.0,18.0,-0.306324172236198,-0.06
19,19.0,164.0,-1.0125497330543265,0.9478618691599489,1.0,1.0,19.0,-0.306324172236198,-0.32
