,weather_station,temperature,percipitation,month,day,hour,accidents,road_usage
0,164,0.47,0.35,1,1,0,0,-1.09
1,164,0.12,0.05,1,1,1,0,-1.06
2,164,0.3,0.0,1,1,2,0,-1.11
3,164,0.3,0.03,1,1,3,0,-1.14
4,164,0.28,0.0,1,1,4,0,-1.14
5,164,-0.15,0.0,1,1,5,1,-1.12
6,164,-0.12,0.0,1,1,6,0,-1.05
7,164,0.1,0.0,1,1,7,0,-1.06
8,164,0.57,0.0,1,1,8,0,-1.0
9,164,1.08,0.03,1,1,9,0,-0.74
10,164,1.6,0.05,1,1,10,0,-0.39
11,164,2.12,0.15,1,1,11,0,-0.0
12,164,2.2,0.12,1,1,12,0,0.16
13,164,2.47,0.15,1,1,13,0,0.16
14,164,2.48,0.1,1,1,14,0,0.38
15,164,2.27,0.08,1,1,15,0,0.38
16,164,1.83,0.03,1,1,16,0,0.18
17,164,1.82,0.05,1,1,17,1,0.13
18,164,1.77,0.1,1,1,18,0,-0.06
19,164,1.3,0.25,1,1,19,0,-0.32
20,164,1.05,0.08,1,1,20,0,-0.56
21,164,1.1,0.0,1,1,21,0,-0.74
22,164,0.9,0.0,1,1,22,0,-0.91
23,164,0.78,0.05,1,1,23,0,-0.98
24,164,0.52,0.07,1,2,0,0,-1.08
25,164,0.27,0.0,1,2,1,0,-1.11
26,164,0.45,0.05,1,2,2,0,-1.12
27,164,0.47,0.03,1,2,3,0,-1.1
28,164,0.58,0.0,1,2,4,0,-1.02
29,164,0.45,0.12,1,2,5,0,-0.82
30,164,0.15,0.05,1,2,6,0,-0.21
31,164,-0.15,0.0,1,2,7,0,0.59
32,164,-0.25,0.0,1,2,8,1,0.49
33,164,0.05,0.0,1,2,9,1,0.36
34,164,0.58,0.0,1,2,10,0,0.65
35,164,1.15,0.0,1,2,11,0,0.88
36,164,1.48,0.0,1,2,12,0,0.79
37,164,0.85,0.03,1,2,13,0,0.75
38,164,1.38,0.2,1,2,14,0,0.74
39,164,1.88,0.0,1,2,15,0,0.79
40,164,1.8,0.0,1,2,16,0,1.06
41,164,1.53,0.03,1,2,17,0,1.2
42,164,1.47,0.0,1,2,18,1,0.49
43,164,1.15,0.0,1,2,19,0,-0.12
44,164,0.77,0.0,1,2,20,0,-0.55
45,164,0.75,0.0,1,2,21,0,-0.73
