weather_station,temperature,percipitation,month,day,hour,accidents,road_usage
257,2.275,0.525,1,1,0,0,-1.1837
257,2.125,0.5,1,1,1,0,-1.088
257,2.275,0.4,1,1,2,0,-1.1817
257,2.625,0.55,1,1,3,1,-1.2456
257,2.775,0.65,1,1,4,0,-1.2867
257,2.725,0.775,1,1,5,0,-1.3025
257,2.7,0.7,1,1,6,0,-1.1955
257,3.025,0.55,1,1,7,0,-1.1977
257,3.2,0.575,1,1,8,0,-1.1761
257,3.65,0.575,1,1,9,0,-0.9536
257,3.875,1.1,1,1,10,0,-0.7054
257,4.025,1.025,1,1,11,0,-0.3044
257,4.1,0.425,1,1,12,0,0.06
257,4.35,0.375,1,1,13,0,0.0727
257,4.275,0.4,1,1,14,0,0.1694
257,4.2,0.525,1,1,15,0,0.2647
257,4.0,0.8,1,1,16,0,0.1823
257,4.05,0.95,1,1,17,0,0.1921
257,4.0,0.55,1,1,18,0,0.1028
257,3.55,1.15,1,1,19,2,-0.1577
257,3.275,0.775,1,1,20,0,-0.4859
257,3.075,0.4,1,1,21,0,-0.6584
257,3.125,0.3,1,1,22,0,-0.8609
257,3.125,0.125,1,1,23,0,-1.0402
257,3.05,0.075,1,2,0,0,-1.0973
257,2.8,0.05,1,2,1,0,-1.229
257,2.575,0.0,1,2,2,0,-1.273
257,2.625,0.0,1,2,3,0,-1.2615
257,2.05,0.25,1,2,4,0,-1.2454
257,1.875,0.35,1,2,5,0,-1.0163
257,1.675,0.25,1,2,6,0,-0.0817
257,1.35,0.275,1,2,7,2,0.5066
257,1.1,0.225,1,2,8,1,0.8521
257,1.3,0.15,1,2,9,0,0.3881
257,1.55,0.275,1,2,10,0,0.1547
257,1.775,0.4,1,2,11,1,0.2127
257,2.05,0.325,1,2,12,1,0.1868
257,1.95,0.625,1,2,13,0,0.2848
257,2.25,0.45,1,2,14,1,0.4163
257,1.375,1.15,1,2,15,0,0.5614
257,1.0,0.4,1,2,16,0,0.6844
257,0.725,0.0,1,2,17,2,0.9846
257,0.475,0.0,1,2,18,1,0.8682
257,0.475,0.0,1,2,19,0,0.262
257,0.4,0.0,1,2,20,0,-0.3355
257,0.45,0.0,1,2,21,0,-0.7052
257,0.3,0.0,1,2,22,1,-0.755
257,-0.225,0.025,1,2,23,0,-0.844
257,0.88,0.08,1,3,0,0,-1.0978
257,0.94,0.06,1,3,1,0,-1.2281
257,1.04,0.0,1,3,2,1,-1.2153
257,1.1,0.08,1,3,3,0,-1.2258
257,1.3,0.08,1,3,4,0,-1.2281
257,1.2,0.14,1,3,5,0,-1.0842
257,0.94,0.22,1,3,6,0,-0.3434
257,0.76,0.02,1,3,7,0,0.1938
257,1.74,0.0,1,3,8,0,0.3706
257,2.68,0.0,1,3,9,2,0.04
