,accidents
2185,-0.2371026526775934
907,-0.306324172236198
951,-0.306324172236198
2775,-0.2371026526775934
2007,-0.306324172236198
1512,-0.306324172236198
3952,-0.2371026526775934
1261,-0.306324172236198
3417,-0.2371026526775934
2588,-0.2371026526775934
2046,-0.2371026526775934
1868,-0.306324172236198
2675,-0.2371026526775934
4028,-0.2371026526775934
90,-0.306324172236198
3110,-0.2371026526775934
745,-0.306324172236198
3525,-0.2371026526775934
916,-0.306324172236198
3367,-0.2371026526775934
3536,-0.2371026526775934
1821,-0.306324172236198
754,-0.306324172236198
3722,-0.2371026526775934
641,2.7061125654622176
426,-0.306324172236198
1148,2.7061125654622176
650,-0.306324172236198
1577,-0.306324172236198
475,-0.306324172236198
2003,-0.306324172236198
279,-0.306324172236198
1744,-0.306324172236198
1498,-0.306324172236198
3237,-0.2371026526775934
1825,-0.306324172236198
3920,-0.2371026526775934
493,-0.306324172236198
357,-0.306324172236198
2744,-0.2371026526775934
2658,-0.2371026526775934
2920,-0.2371026526775934
2580,-0.2371026526775934
2137,-0.2371026526775934
512,-0.306324172236198
1003,-0.306324172236198
3813,-0.2371026526775934
654,-0.306324172236198
929,2.7061125654622176
3495,-0.2371026526775934
1199,-0.306324172236198
3650,-0.2371026526775934
3645,-0.2371026526775934
2457,-0.2371026526775934
3273,-0.2371026526775934
320,-0.306324172236198
527,-0.306324172236198
1927,-0.306324172236198
3614,-0.2371026526775934
2063,-0.2371026526775934
171,-0.306324172236198
3754,-0.2371026526775934
999,-0.306324172236198
921,-0.306324172236198
1280,-0.306324172236198
1378,-0.306324172236198
762,-0.306324172236198
2086,-0.2371026526775934
2470,-0.2371026526775934
2688,-0.2371026526775934
1275,-0.306324172236198
3926,-0.2371026526775934
1571,2.7061125654622176
1305,-0.306324172236198
844,-0.306324172236198
3692,-0.2371026526775934
1737,-0.306324172236198
3740,-0.2371026526775934
1031,-0.306324172236198
2652,-0.2371026526775934
573,2.7061125654622176
3884,-0.2371026526775934
2279,-0.2371026526775934
2576,-0.2371026526775934
605,-0.306324172236198
2278,-0.2371026526775934
674,-0.306324172236198
100,-0.306324172236198
3773,-0.2371026526775934
1836,2.7061125654622176
1785,-0.306324172236198
1340,-0.306324172236198
3373,-0.2371026526775934
3335,-0.2371026526775934
2209,-0.2371026526775934
744,-0.306324172236198
2708,3.9929765313757546
267,-0.306324172236198
3777,-0.2371026526775934
2290,-0.2371026526775934
3976,-0.2371026526775934
841,-0.306324172236198
427,-0.306324172236198
1181,-0.306324172236198
672,-0.306324172236198
747,-0.306324172236198
663,2.7061125654622176
3299,-0.2371026526775934
359,-0.306324172236198
461,-0.306324172236198
3118,-0.2371026526775934
1576,-0.306324172236198
2512,-0.2371026526775934
1224,-0.306324172236198
3663,-0.2371026526775934
1811,-0.306324172236198
780,2.7061125654622176
2672,-0.2371026526775934
1909,5.718549303160633
1193,-0.306324172236198
2466,-0.2371026526775934
1596,-0.306324172236198
1144,-0.306324172236198
220,-0.306324172236198
3290,-0.2371026526775934
1155,-0.306324172236198
2479,-0.2371026526775934
729,-0.306324172236198
396,-0.306324172236198
3183,-0.2371026526775934
691,-0.306324172236198
667,-0.306324172236198
2795,-0.2371026526775934
316,-0.306324172236198
3337,-0.2371026526775934
1515,-0.306324172236198
3944,-0.2371026526775934
1207,-0.306324172236198
814,-0.306324172236198
3188,-0.2371026526775934
2507,-0.2371026526775934
3752,-0.2371026526775934
3157,3.9929765313757546
1295,-0.306324172236198
38,-0.306324172236198
1952,-0.306324172236198
3339,-0.2371026526775934
242,-0.306324172236198
2169,-0.2371026526775934
3014,-0.2371026526775934
3828,-0.2371026526775934
3693,-0.2371026526775934
863,-0.306324172236198
335,-0.306324172236198
948,-0.306324172236198
878,2.7061125654622176
207,-0.306324172236198
3551,-0.2371026526775934
1525,-0.306324172236198
673,-0.306324172236198
2338,-0.2371026526775934
3087,3.9929765313757546
2210,-0.2371026526775934
809,-0.306324172236198
705,-0.306324172236198
2378,-0.2371026526775934
3659,-0.2371026526775934
2663,-0.2371026526775934
880,-0.306324172236198
3102,-0.2371026526775934
2344,-0.2371026526775934
3177,-0.2371026526775934
2283,-0.2371026526775934
1793,2.7061125654622176
2655,-0.2371026526775934
1562,-0.306324172236198
37,-0.306324172236198
2598,-0.2371026526775934
519,-0.306324172236198
3058,-0.2371026526775934
3142,-0.2371026526775934
1513,-0.306324172236198
738,-0.306324172236198
3235,-0.2371026526775934
157,2.7061125654622176
3320,-0.2371026526775934
1556,-0.306324172236198
1883,2.7061125654622176
2391,-0.2371026526775934
1697,-0.306324172236198
1670,-0.306324172236198
1005,-0.306324172236198
2132,-0.2371026526775934
2254,-0.2371026526775934
1285,-0.306324172236198
2673,-0.2371026526775934
3661,-0.2371026526775934
1834,-0.306324172236198
308,-0.306324172236198
2972,-0.2371026526775934
822,-0.306324172236198
