TK_Nr;DZ_Nr;DZ_Name;Land_Nr;Land_Code;Str_Kl;Str_Nr;Str_Zus;Erf_Art;Fernziel_Ri1;Nahziel_Ri1;Hi_Ri1;Fernziel_Ri2;Nahziel_Ri2;Hi_Ri2;Anz_Fs_Q;Betriebs_km;vT_MobisSo;vT_W;vT_U;vT_S;DTV_Kfz_MobisSo_Q;DTV_Kfz_MobisSo_Ri1;DTV_Kfz_MobisSo_Ri2;DTV_Kfz_W_Q;DTV_Kfz_W_Ri1;DTV_Kfz_W_Ri2;DTV_Kfz_U_Q;DTV_Kfz_U_Ri1;DTV_Kfz_U_Ri2;DTV_Kfz_S_Q;DTV_Kfz_S_Ri1;DTV_Kfz_S_Ri2;Entw_Kfz_MobisSo_Q;Entw_Kfz_W_Q;Entw_Kfz_U_Q;Entw_Kfz_S_Q;DTV_SV_MobisSo_Q;DTV_SV_MobisSo_Ri1;DTV_SV_MobisSo_Ri2;DTV_SV_W_Q;DTV_SV_W_Ri1;DTV_SV_W_Ri2;DTV_SV_U_Q;DTV_SV_U_Ri1;DTV_SV_U_Ri2;DTV_SV_S_Q;DTV_SV_S_Ri1;DTV_SV_S_Ri2;Entw_SV_MobisSo_Q;Entw_SV_W_Q;Entw_SV_U_Q;Entw_SV_S_Q;pSV_MobisSo_Q;pSV_W_Q;pSV_U_Q;pSV_S_Q;fer;bSo;bFr;Mt;pMt;Mn;pMn;Md;pMd;Me;pMe;MSV30_Kfz_MobisSo_Q;MSV30_Kfz_W_Q;MSV30_Kfz_U_Q;MSV30_Kfz_S_Q;MSV30maxRi_Kfz_MobisSo;MSV30maxRi_Kfz_W;MSV30maxRi_Kfz_U;MSV30maxRi_Kfz_S;pMSV30maxRi_Kfz_MobisSo;pMSV30maxRi_Kfz_W;pMSV30maxRi_Kfz_U;pMSV30maxRi_Kfz_S;Ri_MSV30maxRi_Kfz_MobisSo;Ri_MSV30maxRi_Kfz_W;Ri_MSV30maxRi_Kfz_U;Ri_MSV30maxRi_Kfz_S;DL_Q;DL_Ri1;DL_Ri2;JG;WG_Ri1;WG_Ri2;TG_Mo_Ri1;TGMax1_Mo_Ri1;TGMax2_Mo_Ri1;TG_Mo_Ri2;TGMax1_Mo_Ri2;TGMax2_Mo_Ri2;TG_DiMiDo_Ri1;TGMax1_DiMiDo_Ri1;TGMax2_DiMiDo_Ri1;TG_DiMiDo_Ri2;TGMax1_DiMiDo_Ri2;TGMax2_DiMiDo_Ri2;TG_Fr_Ri1;TGMax1_Fr_Ri1;TGMax2_Fr_Ri1;TG_Fr_Ri2;TGMax1_Fr_Ri2;TGMax2_Fr_Ri2;TG_Sa_Ri1;TGMax1_Sa_Ri1;TGMax2_Sa_Ri1;TG_Sa_Ri2;TGMax1_Sa_Ri2;TGMax2_Sa_Ri2;TG_SoFei_Ri1;TGMax1_SoFei_Ri1;TGMax2_SoFei_Ri1;TG_SoFei_Ri2;TGMax1_SoFei_Ri2;TGMax2_SoFei_Ri2;pPLZ_MobisSo_Q;pLfw_MobisSo_Q;pMot_MobisSo_Q;pPmA_MobisSo_Q;pLoA_MobisSo_Q;pLzg_MobisSo_Q;pSat_MobisSo_Q;pBus_MobisSo_Q;pSon_MobisSo_Q;pPLZ_W_Q;pLfw_W_Q;pMot_W_Q;pPmA_W_Q;pLoA_W_Q;pLzg_W_Q;pSat_W_Q;pBus_W_Q;pSon_W_Q;pPLZ_U_Q;pLfw_U_Q;pMot_U_Q;pPmA_U_Q;pLoA_U_Q;pLzg_U_Q;pSat_U_Q;pBus_U_Q;pSon_U_Q;pPLZ_S_Q;pLfw_S_Q;pMot_S_Q;pPmA_S_Q;pLoA_S_Q;pLzg_S_Q;pSat_S_Q;pBus_S_Q;pSon_S_Q;Koor_UTM32_E;Koor_UTM32_N;DTV_Kfz_WU_MobisFr_Q;DTV_Kfz_WU_MobisFr_Ri1;DTV_Kfz_WU_MobisFr_Ri2;DTV_SV_WU_MobisFr_Q;DTV_SV_WU_MobisFr_Ri1;DTV_SV_WU_MobisFr_Ri2;DTV_Kfz_WU_Sa_Q;DTV_Kfz_WU_Sa_Ri1;DTV_Kfz_WU_Sa_Ri2;DTV_SV_WU_Sa_Q;DTV_SV_WU_Sa_Ri1;DTV_SV_WU_Sa_Ri2;MSV30_Kfz_MobisSo_Ri1;MSV30_Kfz_MobisSo_Ri2;MSV30_Kfz_W_Ri1;MSV30_Kfz_W_Ri2;MSV30_Kfz_U_Ri1;MSV30_Kfz_U_Ri2;MSV30_Kfz_S_Ri1;MSV30_Kfz_S_Ri2;bSV30_MobisSo_Ri1;bSV30_MobisSo_Ri2;bSV30_W_Ri1;bSV30_W_Ri2;bSV30_U_Ri1;bSV30_U_Ri2;bSV30_S_Ri1;bSV30_S_Ri2;DTV_Kfz_W_MobisFr_Q;DTV_Kfz_W_MobisFr_Ri1;DTV_Kfz_W_MobisFr_Ri2;DTV_SV_W_MobisFr_Q;DTV_SV_W_MobisFr_Ri1;DTV_SV_W_MobisFr_Ri2;pSV_W_MobisFr_Q;pSV_W_MobisFr_Ri1;pSV_W_MobisFr_Ri2;Koor_WGS84_N;Koor_WGS84_E;MSV50_Kfz_MobisSo_Ri1;MSV50_Kfz_MobisSo_Ri2;pMSV50_Kfz_MobisSo_Ri1;pMSV50_Kfz_MobisSo_Ri2;bSV50_MobisSo_Ri1;bSV50_MobisSo_Ri2;bLkwK50_MobisSo_Ri1;bLkwK50_MobisSo_Ri2;pMSV50_Kfz_W_MobisFr_Ri1;pMSV50_Kfz_W_MobisFr_Ri2;DTV_Kfz_NZB_DiMiDo_Ri1;DTV_Kfz_NZB_DiMiDo_Ri2;bSo_Ri1;bSo_Ri2;bMo_Ri1;bMo_Ri2;bFr_Ri1;bFr_Ri2;bSa_Ri1;bSa_Ri2;Q_P_D;Q_L1_D;Q_L2_D;Q_K_D;Q_P_E;Q_L1_E;Q_L2_E;Q_K_E;Q_P_N;Q_L1_N;Q_L2_N;Q_K_N;Geo_Sequ;Abschnitt_Ast;Station;Ausrichtung;Anmerkungen;
2426;2218;AD HH-Südost (O);2;HH;A;1;;2;Lübeck;AS Hamburg-Moorfleet;N;Hamburg;AD Dreieck Hamburg-Südost (A25);S;6;149,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;572.102;5.929.284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,50754848;10,08718293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;530;2426012O2426019O;0,397;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
2426;2217;AD HH-Südost (W);2;HH;A;1;;2;Lübeck;AD Dreieck Hamburg-Südost (A25);N;Hamburg;AK Kreuz Hamburg-Süd (A255);S;8;150,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;571.219;5.929.323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,50801979;10,07388183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;520;2426019O2426001O;0,477;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
4908;5675;AK Leverkusen (O);5;NW;A;1;;8+1;Dortmund;AS Burscheid;N;Köln;AK Kreuz Leverkusen (A3);S;6;402,2;325;205;66;54;81.999;44.130;37.870;83.804;45.389;38.415;81.966;44.107;37.859;75.594;39.658;35.936;+1,7;+2,6;+0,4;-0,5;8.711;4.761;3.951;10.491;5.756;4.735;8.945;4.843;4.101;2.072;1.106;966;-0,2;+1,5;-2,7;-16,3;10,6;12,5;10,9;2,7;0,98;0,94;1,09;4.561;9,1;1.128;22,6;4.860;9,5;3.663;7,6;;;;;;;;;;;;;;;;;;D;D;B;D;D;D;8;17;C;;;E;17;;C;;;E;16;;C;;;A;;;A;;;A;;;D;17;;88,3;7,8;0,4;0,9;2,9;7,6;5,8;0,1;0,2;86,5;8,3;0,3;0,8;3,3;9,1;6,9;0,1;0,2;87,9;8,0;0,4;1,0;3,0;7,8;5,9;0,1;0,2;96,0;5,7;0,6;1,1;1,3;1,4;1,1;0,1;0,1;364.845;5.658.635;84.878;45.951;38.927;11.366;6.246;5.121;75.919;40.789;35.130;3.991;2.049;1.943;;;;;;;;;;;;;;;;;85.359;46.310;39.049;11.623;6.403;5.220;13,6;13,8;13,4;51,06330659;7,07118583;4.135;3.069;9,4;8,1;7,7;2,0;5,6;0,5;8,9;7,9;46.697;38.685;0,89;1,01;0,94;0,97;1,09;1,09;0,91;0,96;4.378;148;315;18;3.373;75;203;13;871;49;206;3;260;4908018A4908083A;5,101;Ri1_ist_NachNK;- Anmerkungen in Bearbeitung -;
4908;5035;AK Leverkusen (W);5;NW;A;1;;8+1;Dortmund;AK Kreuz Leverkusen (A3);N;Köln;AK Kreuz Leverkusen-West (A59);S;6;403,7;312;183;69;60;92.104;46.399;45.705;97.270;49.363;47.907;91.263;44.980;46.283;74.681;37.546;37.136;;;;;3.104;1.602;1.501;3.698;1.911;1.787;3.198;1.646;1.552;866;446;421;;;;;3,4;3,8;3,5;1,2;0,94;0,82;1,06;5.198;3,2;1.118;5,1;5.574;3,4;4.069;2,3;;;;;;;;;;;;;;;;;;D;D;A;B;B;E;17;;C;;;E;17;;B;7;;E;15;;C;;;A;;;A;;;A;;;D;17;;95,7;8,1;0,5;0,8;2,2;1,2;0,9;0,1;0,2;95,4;8,6;0,4;0,7;2,4;1,4;1,1;0,0;0,2;95,5;8,4;0,6;0,9;2,2;1,2;0,9;0,1;0,1;97,8;5,1;0,8;0,9;0,9;0,2;0,1;0,1;0,1;358.801;5.655.933;98.879;49.824;49.054;4.000;2.074;1.926;80.643;40.656;39.987;1.506;737;770;;;;;;;;;;;;;;;;;100.316;50.937;49.379;4.092;2.122;1.970;4,1;4,2;4,0;51,03757536;6,98603730;4.527;3.951;9,8;8,6;2,6;2,9;0,9;0,9;8,9;8,0;51.210;49.266;0,81;0,83;0,95;0,97;1,06;1,06;0,87;0,87;5.357;126;64;28;3.958;62;30;18;1.055;34;23;5;250;4907071A4908018A;1,613;Ri1_ist_NachNK;- Anmerkungen in Bearbeitung -;
6507;0353;AS Eppelborn;10;SL;A;1;;8+1;Köln;AS Tholey;N;Saarbrücken;AS Eppelborn;S;5;185,2;47;28;12;7;22.577;11.332;11.245;24.308;12.257;12.051;22.463;11.247;11.217;16.742;8.243;8.499;-4,3;-4,0;-5,0;-4,6;2.380;1.212;1.168;2.971;1.517;1.454;2.419;1.234;1.185;290;133;157;-8,0;-7,5;-9,7;-10,0;10,5;12,2;10,8;1,7;0,92;0,68;1,08;1.292;10,0;238;16,6;1.443;10,7;840;6,1;;;;;;;;;;;;;;;;;;E;C;A;B;B;E;17;;B;7;;E;17;;B;7;;E;17;;B;8;;D;15;;D;14;;C;15;;G;18;;87,2;7,3;0,7;1,0;3,1;7,3;5,4;0,2;1,2;85,6;7,8;0,6;0,9;3,4;8,6;6,3;0,2;1,2;86,8;7,6;0,7;1,2;3,2;7,4;5,4;0,2;1,2;96,0;4,5;0,9;1,3;0,8;0,7;0,5;0,2;1,0;353.633;5.475.577;25.017;12.597;12.420;3.259;1.670;1.588;18.076;9.076;9.000;744;347;397;;;;;;;;;;;;;;;;;25.376;12.803;12.573;3.359;1.721;1.638;13,2;13,4;13,0;49,41525237;6,98198701;1.335;1.188;11,8;10,6;6,8;12,1;4,8;8,7;10,4;9,4;12.783;12.529;0,66;0,70;0,96;0,97;1,08;1,08;0,73;0,74;1.278;52;103;10;783;11;40;5;197;8;31;1;80;6507026O6507012O;5,486;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
4111;5121;Ascheberg;5;NW;A;1;;8+1;Münster;AS Münster-Hiltrup;N;Dortmund;AS Ascheberg;S;4;288,5;331;204;70;57;66.654;33.676;32.978;67.765;34.257;33.508;68.125;34.500;33.625;60.888;30.593;30.295;+0,0;-0,1;+0,3;+0,2;9.603;4.761;4.843;11.642;5.783;5.859;9.884;4.911;4.973;1.981;926;1.056;-3,2;-3,0;-4,9;-0,1;14,4;17,2;14,5;3,3;1,01;0,91;1,10;3.746;12,3;840;33,0;4.077;12,8;2.752;10,3;;;;;;;;;;;;;;;;;;D;D;B;D;D;B;8;;D;8;17;B;8;;D;8;17;C;;;E;15;;B;11;;D;15;;C;15;;C;15;;82,4;7,2;0,2;1,6;3,0;11,3;8,6;0,1;1,5;79,9;7,6;0,2;1,5;3,4;13,6;10,4;0,1;1,5;82,0;7,3;0,3;1,9;3,1;11,3;8,6;0,1;1,5;93,2;5,4;0,5;1,8;1,3;1,8;1,5;0,2;1,7;403.168;5.743.440;69.060;34.895;34.166;12.733;6.295;6.437;62.070;31.551;30.519;3.794;2.028;1.766;;;;;;;;;;;;;;;;;69.166;34.948;34.218;13.019;6.439;6.580;18,8;18,4;19,2;51,83337406;7,59466706;2.903;2.985;8,6;9,1;11,7;11,1;8,6;7,9;8,3;8,7;34.816;33.805;0,90;0,92;0,96;0,97;1,12;1,08;0,90;0,87;3.544;129;393;11;2.464;61;221;6;562;39;238;1;340;4211021O4111030O;5,015;Ri1_ist_NachNK;- Anmerkungen in Bearbeitung -;
2228;1101;Bad Oldesloe;1;SH;A;1;;8+1;Lübeck;AS Reinfeld;N;Hamburg;AS Bad Oldesloe;S;6;38,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;594.121;5.961.309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,79184164;10,42880292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;570;2228003O2129001O;1,083;Ri1_ist_NachNK;- Anmerkungen in Bearbeitung -;
2130;1108;Bad Schwartau;1;SH;A;1;;8+1;Oldenburg i.H.;AS Bad Schwartau;N;Lübeck;AS Lübeck-Zentrum;S;6;58,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;609.762;5.972.762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,89167750;10,67022940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;590;2129003O2030001O;1,269;Ri1_ist_NachNK;- Anmerkungen in Bearbeitung -;
2427;1102;Barsbüttel;1;SH;A;1;;8+1;Lübeck;AS Barsbüttel;N;Hamburg;AK Kreuz Hamburg-Ost (A24);S;7;7,5;328;207;67;54;90.075;46.362;43.713;92.441;48.123;44.318;94.622;49.424;45.198;75.734;36.099;39.635;;;;;11.997;6.484;5.513;14.451;7.814;6.638;12.624;6.867;5.757;2.332;1.194;1.138;;;;;13,3;15,6;13,3;3,1;1,02;0,82;1,08;5.043;11,8;1.174;26,4;5.516;12,5;3.624;8,8;;;;;;;;;;;;;;;;;;D;D;D;B;D;E;18;;G;7;;E;17;;B;8;;E;17;;B;8;;B;11;;A;;;B;13;;D;18;;82,9;8,5;0,3;1,3;2,7;10,4;8,8;0,3;2,4;80,8;9,0;0,3;1,1;3,1;12,2;10,4;0,3;2,5;82,6;8,7;0,4;1,6;2,7;10,3;8,8;0,3;2,4;93,0;5,8;0,5;1,8;0,6;2,1;1,9;0,3;2,1;578.185;5.935.581;95.532;49.729;45.803;15.621;8.371;7.250;80.835;42.348;38.488;6.028;3.683;2.344;;;;;;;;;;;;;;;;;95.263;49.599;45.664;15.947;8.547;7.400;16,7;17,2;16,2;53,56327624;10,18046539;4.382;4.180;9,5;9,6;9,1;10,0;7,2;7,5;8,8;9,2;49.216;45.396;0,73;0,91;0,95;1,00;1,12;1,05;0,85;0,80;4.810;167;520;19;3.293;51;268;12;861;58;252;3;560;2426101O2427132O;1,330;Ri1_ist_NachNK;- Anmerkungen in Bearbeitung -;
6307;0173;Bierfeld;10;SL;A;1;;8+1;Köln;AS Nonnweiler-Bierfeld;N;Saarbrücken;AD Dreieck Nonnweiler (A62);S;4;160,6;193;120;39;34;27.141;13.622;13.519;28.061;14.132;13.929;27.352;13.741;13.612;23.700;11.713;11.987;;;;;3.862;1.976;1.886;4.774;2.450;2.324;3.937;2.019;1.919;618;286;332;;;;;14,2;17,0;14,4;2,6;0,97;0,85;1,17;1.561;13,2;270;25,8;1.723;14,1;1.075;8,9;;;;;;;;;;;;;;;;;;D;D;C;C;D;B;8;;D;8;17;D;8;17;D;9;17;D;11;15;E;16;;C;11;13;C;11;15;D;18;;D;18;;83,1;7,4;1,0;1,2;3,3;10,5;8,1;0,4;1,4;80,4;7,9;0,9;1,2;3,8;12,8;9,8;0,4;1,5;82,9;7,7;0,9;1,3;3,3;10,7;8,2;0,4;1,4;94,8;5,0;1,3;1,4;1,2;1,1;0,8;0,3;1,2;352.990;5.496.258;28.707;14.447;14.260;5.210;2.677;2.533;23.878;12.023;11.855;1.397;698;699;;;;;;;;;;;;;;;;;28.848;14.526;14.323;5.362;2.754;2.608;18,6;19,0;18,2;49,60100133;6,96542469;1.338;1.373;9,8;10,2;10,7;8,8;8,1;5,8;9,2;9,6;14.304;14.136;0,84;0,86;1,02;1,01;1,17;1,16;0,86;0,84;1.462;67;176;17;969;22;74;10;199;13;57;2;120;6307405O6407086O;0,752;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
