Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge
20,20040814,20230410,432,48.9219,9.9129
29,20060110,20230410,260,49.7175,10.9101
44,20070401,20230410,44,52.9336,8.237
46,20060103,20230410,325,48.945,12.4639
53,20051001,20230410,60,52.585,13.5634
71,20041022,20200101,759,48.2156,8.9784
73,20070401,20230410,340,48.6159,13.0506
78,20041101,20230410,64,52.4853,7.9125
87,20050201,20230410,158,51.095,11.0479
91,20040901,20230410,300,50.7446,9.345
103,20040701,20230410,364,48.896,12.217
118,20050601,20230410,388,49.4053,12.2852
124,20061101,20230410,265,51.2388,11.577
130,20041201,20230410,301,49.7284,9.7692
131,20041101,20230410,296,51.0881,12.9326
142,20051201,20230410,511,48.406,11.3117
146,20060108,20230410,730,47.7922,10.0988
150,20050701,20230410,215,49.7273,8.1164
151,20050301,20230410,382,49.4691,11.8546
154,20050301,20230410,516,48.0197,12.2925
158,20040701,20230410,210,50.784,8.9545
161,20110901,20230410,75,50.4237,7.4202
164,19950901,20230410,54,53.0316,13.9908
167,20040901,20230410,11,53.8409,13.6854
183,19950901,20230410,42,54.6791,13.4344
191,20050301,20230410,217,49.9694,9.9114
194,20050201,20230410,265,51.3431,9.0763
198,19950901,20230408,164,51.3744,11.292
200,20041201,20230410,517,50.085,6.3161
205,20050501,20230410,681,47.7275,12.2982
211,20041101,20230410,200,50.58,8.4685
213,20070501,20230410,170,51.9375,10.9897
216,20041001,20230410,298,51.1143,7.8807
217,20050101,20230410,670,47.8774,11.3643
222,19950901,20230410,393,50.5908,12.7139
227,20041001,20230410,432,49.8823,11.2656
232,19961107,20230410,462,48.4253,10.9417
240,20040901,20230410,293,50.1805,9.5743
257,20021101,20230410,240,48.727,8.2457
259,20040701,20230410,275,47.8064,7.6387
269,20060524,20230410,599,48.5116,8.3176
275,20041001,20230410,1039,47.465,10.1043
279,20061101,20230410,457,48.7574,9.4514
282,19950901,20230410,240,49.8743,10.9206
287,20080501,20230410,53,51.961,11.9159
292,20051201,20230410,37,52.6965,8.487
294,20040701,20230410,110,52.3199,9.43
298,19950901,20230410,3,54.3405,12.7108
301,20150901,20230410,659,48.7584,9.9855
303,19950901,20230410,55,52.0613,13.4997
310,20041101,20230410,590,51.0662,8.5375
312,20070601,20230410,51,53.8149,11.8818
314,20040501,20230410,234,51.1604,14.5042
316,20041101,20230410,310,49.6957,7.8387
320,20060701,20230410,350,49.9666,11.5198
323,20040315,20230410,425,49.1626,10.5918
330,20040801,20230410,455,49.5617,8.9673
336,20040901,20230410,290,51.0221,10.5148
342,20101201,20230410,103,52.317,8.1694
357,20050901,20230410,50,52.3018,7.1301
359,20040701,20230410,464,49.1022,11.796
360,20040701,20230410,403,49.1115,11.4328
377,20041001,20230410,210,49.107,7.9967
378,20050401,20230410,134,51.6842,10.1078
379,20170901,20230410,304,50.9075,11.2665
389,20091101,20230410,436,51.0148,8.4318
390,20040701,20230410,610,50.9837,8.3683
400,20040601,20230410,60,52.631,13.5021
403,20020128,20230410,51,52.4537,13.3017
410,20040501,20200616,33,52.404,13.7309
420,20070801,20230410,61,52.5447,13.5598
427,19950901,20230410,46,52.3807,13.5306
430,19950901,20210505,36,52.5644,13.3088
433,19950901,20230410,48,52.4675,13.4021
443,20040315,20230410,936,47.7388,10.7448
445,20050701,20230410,85,51.8218,11.711
460,19950901,20230410,362,49.2641,6.6868
468,20040911,20230409,505,49.7291,6.9175
479,20050201,20230410,138,50.2435,9.2892
498,20060724,20230410,763,47.7452,8.3111
504,20070601,20230410,79,51.7982,13.9716
522,20050220,20230410,425,48.7092,10.6283
535,20040601,20230410,417,50.0372,7.3079
542,20041101,20230410,12,53.2401,10.8522
550,20021101,20230410,344,50.9041,11.7985
551,20061101,20230410,517,50.3887,11.9955
554,19950901,20230410,23,51.8293,6.5365
555,20080101,20230410,110,51.5026,7.2289
561,20051001,20230410,11,53.367,7.9679
567,20090901,20230410,260,51.6957,9.5135
589,20040501,20230410,343,48.8846,12.7453
591,19950901,20230410,45,53.3911,10.6878
596,19950901,20230410,15,54.0027,11.1908
603,19990303,20230410,147,50.7293,7.204
604,20061009,20230410,875,47.8194,8.3348
613,20041101,20230410,206,51.5677,9.2324
617,20040601,20230410,47,51.873,6.8863
622,20060601,20230410,66,52.3745,11.4655
630,20060601,20230410,87,52.0193,11.4059
633,20040601,20230410,126,51.4041,14.5681
644,20050101,20230410,150,51.7049,9.1738
653,20050501,20230410,483,47.7241,12.1092
656,19950901,20230410,607,51.7234,10.6021
662,19971022,20230410,81,52.2915,10.4464
677,20030421,20230410,610,48.1266,10.3649
684,20050621,20230410,1000,47.9385,8.0761
691,19950901,20230410,4,53.0451,8.7981
701,19980610,20230410,7,53.5332,8.5761
704,19950901,20230410,11,53.4451,9.139
714,20050601,20230410,46,52.3653,14.2474
721,20040601,20230410,101,51.5171,12.4362
723,20041201,20230410,290,50.1841,7.24
731,20071201,20230410,130,49.1127,8.6372
732,20040919,20230410,545,49.7985,7.2278
735,20050501,20230410,52,52.1692,12.7334
753,20040501,20230410,305,50.87,11.5022
755,20040601,20230410,340,49.5182,9.3213
757,20040601,20230410,445,47.9625,7.9983
760,20171201,20230410,83,53.3629,9.9435
775,20041001,20230410,100,52.0,10.6323
789,20040601,20230410,263,49.6063,9.8834
791,20060101,20230410,5,54.6328,8.937
796,20041101,20230410,412,50.7556,8.1257
797,20050801,20230410,39,52.3241,11.8339
801,20021101,20230410,331,49.4549,10.3241
807,20070425,20230410,290,49.745,10.6434
808,20060301,20230410,413,48.187,12.8098
812,20041201,20230410,278,50.1429,11.2322
814,20060108,20230410,270,50.1451,10.7066
815,20061101,20230410,162,51.5426,11.6947
817,20050201,20230410,293,51.0306,8.8146
837,20040701,20230410,244,50.2863,8.2949
839,20110105,20230410,27,53.7575,10.9288
840,19950901,20230410,895,50.4313,12.6114
848,20080801,20230410,38,52.6146,10.0726
853,19950901,20230410,416,50.7913,12.872
856,19950907,20230410,551,47.8843,12.5404
857,20050201,20230410,535,47.8665,12.395
867,19950901,20230410,344,50.3066,10.9679
871,20050801,20230410,87,51.9618,7.1585
874,20050801,20230410,52,52.2994,11.6733
880,19950901,20230410,69,51.7759,14.3168
885,20050601,20230410,450,49.8449,11.616
891,20000510,20230410,5,53.8713,8.706
896,20040801,20230410,170,51.0778,10.8619
902,20061001,20230410,573,50.4115,6.5615
917,20040901,20230410,162,49.8809,8.6779
922,20060110,20230410,460,48.395,11.0594
931,20041019,20230410,712,47.8007,9.4108
933,20030428,20230410,585,48.0368,11.5777
934,20041001,20230410,88,51.7835,8.5658
942,20041101,20230410,308,50.122,6.599
953,19971210,20230410,481,49.7619,7.0542
961,20040701,20230410,258,51.4743,9.0039
962,20040501,20230410,326,50.8018,11.1692
963,19960603,20230410,38,52.5881,8.3424
966,20060201,20230410,65,52.7522,10.8831
970,20021101,20230410,405,49.4158,10.6734
974,20060901,20230410,440,51.5307,11.0457
978,20050201,20230410,155,50.3574,8.0485
979,20040901,20230313,314,50.7364,8.2672
983,20061201,20230410,419,48.5562,10.5599
985,20060101,20230410,492,49.0504,10.2892
988,20050901,20230410,27,52.6746,8.1137
989,20050201,20230410,46,51.5765,6.7849
991,20050201,20230410,359,50.9116,13.7087
1001,19950901,20230410,97,51.6451,13.5747
1014,20050301,20230410,2,53.2289,7.2191
1023,20060103,20230410,430,48.2746,12.1616
1024,20060801,20230410,37,51.1157,6.851
1030,20050301,20230410,3,53.646,7.4302
1039,20041201,20230410,317,51.5263,9.7978
1046,20041001,20230409,72,51.7585,7.7528
1048,19950901,20230410,228,51.1278,13.7543
1050,20060401,20230410,112,51.0221,13.847
1051,20070301,20230410,119,51.0249,13.7751
1052,20040701,20230410,80,52.2174,12.1641
1055,20041001,20230410,482,50.6316,8.1813
1056,20051201,20230410,2,53.7118,9.3791
1067,20041001,20230410,95,51.9265,12.3852
1072,20040601,20230410,107,49.4719,8.1929
1078,19950901,20230410,37,51.296,6.7686
1089,20060608,20230410,197,48.5017,7.9943
1093,20140429,20230410,131,49.4593,8.9595
1094,20090924,20230410,611,47.7958,11.1991
1103,20061001,20230410,592,48.1003,11.9872
1107,20041201,20230410,346,49.852,10.4991
1119,20040923,20230410,535,49.5767,11.6975
1130,20090701,20230410,18,54.6282,9.3649
1132,20060110,20230410,410,48.3956,12.7287
1158,20040728,20230410,350,48.636,12.8531
1161,20050201,20230410,384,48.8777,11.2349
1166,20040901,20230410,107,51.4603,12.6687
1170,20070701,20230410,267,51.8873,9.728
1176,20041102,20230410,976,47.9634,8.2693
1197,20021101,20230410,463,48.9895,10.1312
1200,19950901,20230410,3,54.0691,9.0105
1207,20060301,20230410,558,50.2705,12.2742
1210,20060701,20221019,90,51.4505,13.5046
1214,20040801,20230410,431,48.2012,8.1088
1216,20050201,20230410,312,49.4251,9.243
1223,20050901,20230410,16,52.5983,6.9449
1224,20021201,20230410,201,48.1378,7.8351
1237,20040901,20230410,507,48.089,12.5073
1241,20061201,20230410,128,52.15,8.5226
1246,20150801,20230410,104,51.8418,8.0607
1253,20040912,20230410,286,50.426,7.9395
1255,20021201,20230410,226,49.1661,8.8483
1262,19950901,20230410,446,48.3477,11.8134
1266,20040601,20230410,18,54.2992,9.3162
1270,19950901,20230410,316,50.9829,10.9608
1278,20071201,20230410,163,52.2449,10.7182
1279,20060701,20230410,268,49.6497,11.0075
1282,20100101,20230410,565,50.3043,12.3834
1290,20051101,20230410,716,48.1868,8.4672
1297,20041001,20230410,156,51.2041,10.0138
1300,20040601,20230410,351,51.254,8.1565
1303,19950901,20230410,150,51.4041,6.9677
1304,20060401,20230410,48,52.3345,8.3877
1313,20031022,20230410,940,47.5665,10.9583
1320,20040501,20230410,137,51.261,11.1754
1327,20040801,20230410,147,50.7119,6.7905
1332,20050301,20230410,471,48.4832,12.7241
1336,20040901,20230410,67,52.8568,9.6756
1343,20051015,20230410,476,47.7956,12.0161
1346,20000816,20230410,1486,47.8748,8.0038
1350,20070801,20230410,48,52.0997,13.0016
1357,20050301,20230408,655,49.9807,11.8376
1358,19950901,20230410,1213,50.4283,12.9536
1366,20060110,20230410,498,48.2213,11.7989
1392,20100401,20230410,621,49.7316,12.3489
1411,20070101,20230410,747,50.5309,10.0479
1420,19950901,20230410,100,50.0259,8.5213
1424,20080801,20230410,124,50.1269,8.6694
1435,20021101,20230410,768,50.5921,10.8575
1441,20150401,20230410,416,50.9263,13.2711
1443,19950901,20230410,237,48.0232,7.8343
1451,20040601,20230410,2,53.8277,9.2493
1458,20050401,20230410,492,49.5747,11.8859
1468,19950901,20230410,797,48.4538,8.409
1495,20041001,20230410,52,53.5389,11.7607
1497,20041201,20230410,74,53.0238,13.7088
1503,20121001,20230410,6,53.0643,7.902
1511,20041006,20230410,400,48.5587,12.5719
1526,20041101,20230410,242,50.5668,9.6532
1542,20040122,20230410,498,48.4327,12.5714
1544,19950901,20230410,47,52.5129,11.3942
1550,19950901,20230410,719,47.483,11.0621
1561,20041201,20230410,414,50.4034,9.2076
1573,20060101,20230410,281,50.7133,9.9539
1578,20040601,20230410,376,48.6894,11.6353
1580,20061201,20230410,111,49.9859,7.9548
1584,20090601,20230410,673,47.9242,8.6474
1587,19960830,20230410,536,48.9481,11.4289
1590,20030701,20230410,37,51.4942,6.2463
1595,20121001,20230410,91,51.5762,7.0652
1598,20051201,20230410,328,50.248,7.7456
1602,20040701,20230410,177,48.433,7.993
1605,19950901,20230410,35,52.3875,12.1602
1607,20021101,20230410,344,49.1934,11.0267
1612,19950901,20230410,311,50.8812,12.1289
1639,19970320,20230410,203,50.6017,8.6439
1642,20031009,20230410,550,48.1085,11.2781
1645,20040501,20230410,340,50.9656,9.05
1650,20041101,20230410,250,49.4648,7.4111
1669,20061101,20230410,43,53.808,12.9607
1684,19950901,20230410,239,51.1621,14.9506
1689,20040701,20230410,441,49.7656,11.3062
1691,19950901,20230410,167,51.5002,9.9507
1694,19950901,20230410,59,53.6058,12.1034
1711,20070501,20230410,437,47.7344,8.7932
1717,20050901,20230410,28,53.2651,11.5042
1721,20061001,20230410,506,49.664,11.2239
1735,20050301,20230410,628,48.7894,13.629
1736,20020702,20230410,26,53.5731,10.6797
1744,20041201,20230410,139,51.5718,14.4763
1750,20040901,20230410,190,51.4511,9.4138
1757,19950901,20230410,2,54.0967,13.4056
1759,20010117,20230410,12,54.2437,13.9102
1766,19950901,20230410,48,52.1344,7.6969
1769,20041001,20230410,23,53.8312,11.1713
1770,20061001,20230410,38,52.4233,11.966
1792,20051201,20230410,27,52.7553,7.4815
1793,20060801,20230410,104,51.8806,11.465
1801,20040701,20230410,31,52.4169,12.8006
1803,20040901,20230410,35,54.0714,12.3238
1810,20140701,20230410,55,52.9094,13.5371
1813,20070101,20230410,17,54.4032,9.7654
1814,20040601,20230410,87,49.9052,8.4459
1827,20070101,20230410,3,54.3726,11.0828
1832,20000816,20230410,1436,49.1129,13.1338
1844,20070101,20230410,517,47.9411,11.9004
1846,20060302,20230410,344,48.6773,12.6207
