Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge
44,20070401,20230409,44,52.9336,8.237
73,20070401,20230409,340,48.6159,13.0506
78,20041101,20230409,64,52.4853,7.9125
91,20040901,20230409,300,50.7446,9.345
131,20041101,20230409,296,51.0881,12.9326
142,19820101,20230409,511,48.406,11.3117
150,20050701,20230409,215,49.7273,8.1164
151,20050301,20230409,382,49.4691,11.8546
154,20050301,20230409,516,48.0197,12.2925
161,20110901,20230409,75,50.4237,7.4202
164,19560101,20230409,54,53.0316,13.9908
167,20040901,20230409,11,53.8409,13.6854
183,19730101,20230409,42,54.6791,13.4344
191,20041104,20230409,217,49.9694,9.9114
198,19610101,20230408,164,51.3744,11.292
217,20050101,20230409,670,47.8774,11.3643
222,19820101,20230409,393,50.5908,12.7139
232,19550101,20230409,462,48.4253,10.9417
257,20021101,20230409,240,48.727,8.2457
259,20040701,20230409,275,47.8064,7.6387
282,19610101,20230409,240,49.8743,10.9206
294,20040701,20230409,110,52.3199,9.43
298,19810101,20230409,3,54.3405,12.7108
303,19930819,20230409,55,52.0613,13.4997
314,20040501,20230409,234,51.1604,14.5042
320,20060701,20230409,350,49.9666,11.5198
330,20040801,20230409,455,49.5617,8.9673
342,20101201,20230409,103,52.317,8.1694
377,20041001,20230409,210,49.107,7.9967
379,20170901,20230409,304,50.9075,11.2665
390,20040701,20230409,610,50.9837,8.3683
400,19910101,20230409,60,52.631,13.5021
403,20020101,20230409,51,52.4537,13.3017
410,20040501,20200615,33,52.404,13.7309
420,20070801,20230409,61,52.5447,13.5598
427,19730101,20230409,46,52.3807,13.5306
430,19860101,20210505,36,52.5644,13.3088
433,19510101,20230409,48,52.4675,13.4021
445,20050701,20230409,85,51.8218,11.711
460,19610101,20230409,362,49.2641,6.6868
535,20040601,20230409,417,50.0372,7.3079
555,20080101,20230409,110,51.5026,7.2289
591,19730101,20230409,45,53.3911,10.6878
596,19730101,20230409,15,54.0027,11.1908
603,20010403,20230409,147,50.7293,7.204
617,20040601,20230409,47,51.873,6.8863
656,19480101,20230409,607,51.7234,10.6021
662,19510101,20230409,81,52.2915,10.4464
691,19490101,20230409,4,53.0451,8.7981
701,19490101,20230409,7,53.5332,8.5761
704,19910101,20230409,11,53.4451,9.139
755,20040601,20230409,340,49.5182,9.3213
757,20040601,20230409,445,47.9625,7.9983
760,20171201,20230409,83,53.3629,9.9435
817,20050201,20230409,293,51.0306,8.8146
840,19910101,20230409,895,50.4313,12.6114
853,19510101,20230409,416,50.7913,12.872
856,19910101,20230409,551,47.8843,12.5404
867,19470101,20230409,344,50.3066,10.9679
880,19560101,20230409,69,51.7759,14.3168
891,19510101,20230409,5,53.8713,8.706
896,20040801,20230409,170,51.0778,10.8619
917,20040901,20230409,162,49.8809,8.6779
953,19550101,20230409,481,49.7619,7.0542
963,19940103,20230409,38,52.5881,8.3424
979,20040901,20230313,314,50.7364,8.2672
983,20061201,20230409,419,48.5562,10.5599
991,20050201,20230409,359,50.9116,13.7087
1001,19810101,20230409,97,51.6451,13.5747
1048,19730101,20230409,228,51.1278,13.7543
1050,20060401,20230409,112,51.0221,13.847
1051,20070301,20230409,119,51.0249,13.7751
1052,20040701,20230409,80,52.2174,12.1641
1072,20040601,20230409,107,49.4719,8.1929
1078,19760301,20230409,37,51.296,6.7686
1103,20061001,20230409,592,48.1003,11.9872
1107,20041201,20230409,346,49.852,10.4991
1161,20050201,20230409,384,48.8777,11.2349
1197,19480101,20230409,463,48.9895,10.1312
1200,20020101,20230409,3,54.0691,9.0105
1207,20060301,20230409,558,50.2705,12.2742
1214,20040801,20230409,431,48.2012,8.1088
1224,20021201,20230409,201,48.1378,7.8351
1246,20150801,20230409,104,51.8418,8.0607
1255,20021201,20230409,226,49.1661,8.8483
1262,19920517,20230409,446,48.3477,11.8134
1266,20040601,20230409,18,54.2992,9.3162
